,Gia,Nha_ve_sinh,So_phong,Huong,Chieu_dai,Rong,Giay_to,Dien_tich,Dien_tich_su_dung,Hem_rong,Duong_mat_tien,Duong,Phuong,Quan,So_lau,Tang_thuong,Gac_lung,Tang_ham,Gan_cho,Gan_truong,Gan_congvien,Gan_mat_tien,Di_chuyen,Thoang,an_ninh,2_duong_chinh,2_hem,binned
3270,18000,7,6,Đ.Bắc,20.0,4.5,Sổ hồng,90.0,229.7,17.0,0,quang trung,Phường 11,Quận Gò Vấp,2,1,0,0,1,1,1,1,1,1,1,1,1,"(10000.0, 20000.0]"
3271,13500,2,2,T.Nam,14.5,4.0,Sổ hồng,58.0,174.0,4.16,0,cô giang,Phường Cô Giang,Quận 1,1,1,0,0,1,0,1,0,1,0,0,0,0,"(10000.0, 20000.0]"
3272,4100,1,2,T.Nam,5.35,5.25,Sổ hồng,21.6,43.2,5.0,0,bàn cờ,Phường 3,Quận 3,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3273,10000,2,2,T.Bắc,21.22,3.27,Sổ hồng,53.9,110.0,15.0,1,nguyễn văn đậu,Phường 5,Quận Bình Thạnh,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3274,4200,5,4,Đ.Bắc,16.63,3.32,Sổ hồng,48.3,36.2,3.0,0,lương văn can,Phường 15,Quận 8,2,0,0,0,1,1,0,0,1,1,1,0,0,"(4000.0, 10000.0]"
3275,4200,3,4,Đ.Bắc,12.57,3.0,Sổ hồng,37.3,70.9,1.7,0,mễ cốc,Phường 15,Quận 8,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3276,2500,3,4,Đ.Bắc,17.13,3.0,Sổ hồng,51.4,137.8,3.0,0,huỳnh tấn phát,Xã Phú Xuân,Huyện Nhà Bè,2,0,0,0,1,1,0,1,0,0,0,0,0,"(900.0, 4000.0]"
3277,7900,3,4,Tây,23.2,4.0,Sổ hồng,92.8,149.3,11.0,0,quang trung,Phường 12,Quận Gò Vấp,2,1,0,0,1,1,0,0,1,0,1,0,0,"(4000.0, 10000.0]"
3278,7400,3,3,Nam,18.31,3.7,Sổ hồng,74.6,169.1,1.7,0,bạch đằng,Phường 15,Quận Bình Thạnh,2,0,0,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
3279,4900,3,2,Tây,15.76,4.0,Sổ hồng,63.7,101.2,1.91,0,quốc lộ 50 liên tỉnh 5,Phường 5,Quận 8,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3280,9200,7,6,T.Bắc,17.0,7.0,Sổ hồng,119.0,408.0,12.0,1,39 - cl,Phường Cát Lái,Quận 2,3,1,0,0,1,1,0,1,1,1,1,0,0,"(4000.0, 10000.0]"
3281,5600,3,2,Đ.Bắc,9.3,3.2,Sổ hồng,26.2,120.2,4.0,0,cách mạng tháng tám,Phường 15,Quận 10,2,1,1,0,1,0,0,0,0,0,0,0,0,"(4000.0, 10000.0]"
3282,5600,4,4,T.Nam,16.1,4.6,Sổ hồng,75.6,196.0,3.0,0,số 9,Phường 9,Quận Gò Vấp,3,0,1,0,1,1,1,1,0,0,0,0,0,"(4000.0, 10000.0]"
3283,15500,4,6,T.Bắc,14.0,4.0,Sổ hồng,56.0,197.2,60.0,1,phạm văn đồng,Phường Linh Đông,Quận Thủ Đức,3,1,0,0,1,1,0,1,1,0,0,0,0,"(10000.0, 20000.0]"
3284,5500,2,3,Nam,6.7,13.22,Sổ hồng,74.5,139.4,3.5,0,bình tiên,Phường 3,Quận 6,1,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3285,3600,2,2,Đ.Nam,7.4,2.78,Sổ hồng,20.4,55.2,2.0,0,hoàng diệu,Phường 6,Quận 4,2,0,0,0,1,1,1,1,1,1,1,0,0,"(900.0, 4000.0]"
3286,16000,5,4,Bắc,20.91,5.0,Sổ hồng,108.7,264.0,8.0,1,số 6,Phường Bình Trưng Tây,Quận 2,2,1,0,0,1,1,0,0,0,0,0,0,0,"(10000.0, 20000.0]"
3287,9000,6,4,T.Bắc,12.95,7.0,Sổ hồng,60.8,215.7,6.4,0,phạm văn chí,Phường 7,Quận 6,2,1,0,0,1,1,0,0,0,1,0,0,0,"(4000.0, 10000.0]"
3288,4900,3,2,T.Nam,11.05,3.15,Sổ hồng,30.9,95.1,3.0,0,lý thái tổ,Phường 10,Quận 10,2,1,0,0,1,1,1,1,0,0,0,0,0,"(4000.0, 10000.0]"
3289,6000,4,4,Tây,18.0,4.0,Sổ hồng,62.1,117.0,4.0,0,41 - phú định,Phường 16,Quận 8,2,0,0,0,1,1,1,1,1,0,1,0,0,"(4000.0, 10000.0]"
3291,8400,3,4,T.Nam,16.97,3.91,Sổ hồng,65.0,146.4,2.2,0,xô viết nghệ tĩnh,Phường 26,Quận Bình Thạnh,2,0,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
3292,5000,2,4,T.Bắc,12.62,5.24,Sổ hồng,64.2,151.1,40.0,1,11,Phường Bình Trưng Tây,Quận 2,1,0,0,0,1,1,1,1,0,1,1,0,0,"(4000.0, 10000.0]"
3293,1500,2,2,Đ.Nam,9.0,3.0,Sổ hồng,27.0,54.0,2.0,0,huỳnh tấn phát,Thị trấn Nhà Bè,Huyện Nhà Bè,1,0,0,0,1,1,0,1,1,1,1,0,0,"(900.0, 4000.0]"
3295,14000,4,4,Đ.Bắc,23.0,5.0,Sổ hồng,114.4,288.6,6.0,0,bình lợi,Phường 13,Quận Bình Thạnh,2,1,0,0,1,1,1,1,1,1,1,0,0,"(10000.0, 20000.0]"
3296,6700,3,3,Bắc,19.0,4.0,Sổ hồng,76.0,201.2,12.0,1,số 18,Xã Bình Hưng,Huyện Bình Chánh,2,0,0,0,1,1,1,1,1,1,1,0,0,"(4000.0, 10000.0]"
3297,6900,6,6,Đông,15.63,4.84,Sổ hồng,71.2,212.7,2.84,0,phạm thế hiển,Phường 3,Quận 8,3,1,0,0,1,1,0,1,0,0,0,0,0,"(4000.0, 10000.0]"
3299,6700,3,3,T.Bắc,8.9,3.55,Sổ hồng,31.1,83.9,2.0,0,lê hồng phong,Phường 10,Quận 10,2,0,1,0,1,0,1,0,1,0,0,0,0,"(4000.0, 10000.0]"
3300,5200,3,4,Tây,10.0,3.0,Sổ hồng,30.0,166.8,5.0,0,số 39,Phường 10,Quận 6,2,1,0,0,1,1,1,1,1,1,1,1,1,"(4000.0, 10000.0]"
